Date,Median,Upper,Lower
1900/03,-0.285,-0.368,-0.214
1900/04,-0.261,-0.328,-0.188
1900/05,-0.273,-0.372,-0.201
1900/06,-0.18,-0.274,-0.104
1900/07,-0.19,-0.265,-0.119
1900/08,-0.185,-0.254,-0.128
1900/09,-0.23,-0.304,-0.176
1900/10,-0.058,-0.132,0.004
1900/11,-0.263,-0.325,-0.193
1900/12,-0.075,-0.161,-0.008
1901/01,-0.176,-0.259,-0.11
1901/02,-0.272,-0.358,-0.21
1901/03,-0.236,-0.317,-0.164
1901/04,-0.187,-0.259,-0.122
1901/05,-0.196,-0.29,-0.13
1901/06,-0.146,-0.235,-0.074
1901/07,-0.188,-0.273,-0.11
1901/08,-0.196,-0.271,-0.139
1901/09,-0.343,-0.418,-0.284
1901/10,-0.298,-0.37,-0.237
1901/11,-0.442,-0.514,-0.364
1901/12,-0.428,-0.517,-0.354
1902/01,-0.232,-0.314,-0.166
1902/02,-0.26,-0.341,-0.195
1902/03,-0.398,-0.473,-0.33
1902/04,-0.451,-0.512,-0.386
1902/05,-0.401,-0.485,-0.341
1902/06,-0.424,-0.511,-0.356
1902/07,-0.391,-0.469,-0.322
1902/08,-0.368,-0.43,-0.32
1902/09,-0.361,-0.433,-0.303
1902/10,-0.477,-0.551,-0.415
1902/11,-0.538,-0.609,-0.474
1902/12,-0.526,-0.608,-0.469
1903/01,-0.269,-0.344,-0.207
1903/02,-0.181,-0.27,-0.125
1903/03,-0.358,-0.43,-0.286
1903/04,-0.473,-0.537,-0.408
1903/05,-0.463,-0.545,-0.406
1903/06,-0.537,-0.627,-0.473
1903/07,-0.485,-0.562,-0.419
1903/08,-0.587,-0.654,-0.539
1903/09,-0.518,-0.589,-0.458
1903/10,-0.653,-0.72,-0.596
1903/11,-0.634,-0.709,-0.569
1903/12,-0.604,-0.681,-0.535
1904/01,-0.644,-0.716,-0.586
1904/02,-0.59,-0.678,-0.532
1904/03,-0.661,-0.731,-0.597
1904/04,-0.553,-0.62,-0.491
1904/05,-0.527,-0.618,-0.47
1904/06,-0.522,-0.617,-0.459
1904/07,-0.522,-0.6,-0.455
1904/08,-0.477,-0.545,-0.426
1904/09,-0.478,-0.553,-0.413
1904/10,-0.473,-0.541,-0.413
