UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kuwait,, 1.8 , 1.1 , 1.3 , 1.9 , 1.8 , 1.9 , 2.4 , 1.4 , 1.7 , 2.0 , 1.8 , 1.8 ,,,,
Lebanon,,,,,,,,, 4.5 , 3.5 , 3.8 , 3.7 , 3.9 , 4.5 , 4.3 , 3.9 , 4.0 
Oman,,, 1.2 , 1.5 , 1.7 , 2.1 , 4.7 , 1.4 , 1.7 , 1.3 , 1.6 , 1.1 , 1.1 , 2.6 , 0.7 ,,
Qatar, 0.2 , 0.8 ,,, 0.7 , 0.7 , 0.5 , 0.8 , 0.9 , 0.5 , 0.2 , 0.2 , 0.3 , 0.4 , 0.4 ,,
Saudi Arabia, 0.8 , 1.1 , 1.3 , 1.1 , 1.3 , 1.2 , 1.0 , 1.0 ,,,,,,,, 1.5 ,
State of Palestine,,,, 2.7 , 2.7 , 2.4 ,,, 1.2 , 1.1 , 0.8 , 0.6 , 0.6 , 0.5 , 0.8 , 1.0 , 0.7 
Syrian Arab Republic, 2.2 , 2.2 , 2.2 , 2.3 , 2.4 , 2.4 , 2.4 , 2.7 , 2.6 , 2.3 , 2.2 ,,,,,,
Turkey,,,, 4.3 , 4.3 , 4.9 , 4.6 , 5.2 , 4.6 , 5.2 , 4.2 , 4.2 , 4.3 ,,,,
United Arab Emirates,,,, 1.2 , 0.7 , 1.2 , 0.7 ,,,, 0.8 , 0.6 , 0.8 , 0.6 , 0.7 , 0.7 , 0.9 
Yemen, 3.9 ,,, 3.6 , 3.2 , 4.6 , 4.2 , 3.9 , 3.9 , 4.3 , 4.7 , 5.7 , 6.5 , 6.7 ,,,
Belarus, 10.2 , 9.8 , 10.1 , 9.0 , 8.4 , 8.6 , 7.7 , 6.8 , 5.7 , 5.1 , 4.2 , 3.9 , 3.6 , 3.5 , 3.6 ,,
Bulgaria, 4.2 , 3.9 , 3.2 , 3.2 , 3.2 , 2.6 , 2.4 , 2.3 , 2.3 , 2.0 , 2.0 , 1.7 , 1.9 , 1.5 , 1.6 , 1.8 , 1.1 
Czechia, 1.8 , 1.4 , 1.5 , 1.6 , 1.3 , 1.1 , 1.3 , 1.2 , 1.1 , 0.9 , 1.0 , 0.8 , 1.0 , 0.8 , 0.8 , 0.8 , 0.6 
Hungary, 2.0 , 2.5 , 2.0 , 2.2 , 2.1 , 1.6 , 1.7 , 1.5 , 1.8 , 1.4 , 1.4 , 1.5 , 1.3 , 1.6 , 1.5 , 2.3 , 2.1 
Poland#, 2.2 , 2.0 , 1.9 , 1.7 , 1.6 , 1.4 , 1.3 , 1.4 , 1.2 , 1.3 , 1.1 , 1.2 , 1.0 , 0.8 , 0.7 , 0.8 , 0.7 
Republic of Moldova, 10.3 , 9.8 , 9.6 , 7.6 , 6.6 , 7.1 , 6.3 , 5.3 , 5.7 , 6.0 , 6.5 , 7.5 , 5.6 , 4.2 , 3.2 ,,
Romania#, 2.6 , 2.7 , 2.6 , 2.5 , 2.4 , 2.1 , 2.1 , 2.0 , 2.3 , 1.9 , 2.0 , 1.7 , 1.9 , 1.7 , 1.5 , 1.5 , 1.2 
Russian Federation##, 28.1 , 29.4 , 30.5 , 28.9 , 27.3 , 24.8 , 20.1 , 17.7 , 16.6 , 14.9 ,,,, 11.0 , 11.3 , 11.5 , 10.8 
Slovakia, 2.4 , 2.2 , 2.2 , 2.5 , 2.0 , 1.7 , 1.5 , 1.5 , 1.6 , 1.4 , 1.5 , 1.6 , 1.2 , 1.3 , 1.3 , 0.8 , 1.0 
Ukraine, 9.0 , 10.0 , 9.0 , 8.5 , 7.4 , 6.5 , 6.3 , 5.7 , 5.3 , 4.9 , 4.3 ,, 5.2 ,, 6.3 ,,
Channel Islands,,,,,, 0.6 , 1.3 ,, 0.6 ,, -   ,,,,,,
